lon,lat,dominant,total,n_red_kangaroo,n_eastern_grey_kangaroo,n_koala,n_emu,n_platypus
132.25,-23.25,red_kangaroo,52,47,0,0,5,0
122.25,-29.75,red_kangaroo,12,9,0,0,3,0
131.25,-23.75,red_kangaroo,28,27,0,0,1,0
114.75,-28.25,red_kangaroo,30,25,0,0,5,0
133.25,-23.25,red_kangaroo,42,38,0,0,4,0
116.25,-33.75,emu,111,38,0,0,73,0
128.75,-31.75,red_kangaroo,103,57,0,0,46,0
145.75,-34.25,emu,366,45,155,0,166,0
142.75,-30.25,emu,44,4,9,0,31,0
144.75,-34.25,emu,173,35,29,0,109,0
133.75,-22.75,red_kangaroo,14,11,0,0,3,0
146.25,-34.25,emu,850,21,344,0,484,1
147.75,-31.25,emu,150,8,15,0,127,0
144.25,-27.75,emu,45,1,0,0,44,0
145.75,-33.75,emu,60,6,16,0,38,0
135.75,-18.25,red_kangaroo,34,32,0,0,2,0
142.25,-33.25,red_kangaroo,587,396,1,0,190,0
131.25,-25.25,emu,39,4,0,0,35,0
115.75,-24.25,red_kangaroo,41,36,0,0,5,0
153.25,-28.75,koala,19185,1,275,18207,9,693
145.25,-37.75,eastern_grey_kangaroo,7579,1,5824,443,209,1102
141.75,-33.75,emu,81,13,5,0,63,0
136.25,-18.75,red_kangaroo,72,70,0,0,2,0
132.25,-24.75,red_kangaroo,44,40,0,0,4,0
136.75,-19.25,red_kangaroo,100,97,0,0,3,0
132.75,-22.75,emu,19,9,0,0,10,0
133.75,-23.25,red_kangaroo,22,22,0,0,0,0
135.25,-22.25,red_kangaroo,30,19,0,0,11,0
133.75,-21.75,red_kangaroo,22,17,0,0,5,0
133.75,-24.25,red_kangaroo,14,11,0,0,3,0
134.75,-23.75,red_kangaroo,12,10,0,0,2,0
139.75,-26.25,red_kangaroo,10,5,0,0,5,0
132.25,-25.75,red_kangaroo,30,28,0,0,2,0
132.75,-23.75,emu,28,12,0,0,16,0
136.75,-22.75,red_kangaroo,66,66,0,0,0,0
133.75,-18.25,emu,16,7,0,0,9,0
138.75,-33.75,emu,110,49,3,3,55,0
139.75,-33.75,red_kangaroo,645,409,1,0,235,0
132.75,-29.25,red_kangaroo,15,13,0,0,2,0
133.25,-30.25,red_kangaroo,202,191,0,0,11,0
134.25,-18.75,red_kangaroo,15,9,0,0,6,0
141.75,-30.25,emu,47,13,0,0,34,0
136.25,-31.25,red_kangaroo,461,372,0,0,89,0
130.25,-29.75,red_kangaroo,16,14,0,0,2,0
135.75,-31.75,red_kangaroo,501,409,0,0,92,0
139.75,-32.25,red_kangaroo,3472,1834,0,0,1638,0
140.25,-32.75,red_kangaroo,833,678,0,0,155,0
135.25,-29.25,red_kangaroo,219,185,0,0,34,0
132.25,-30.75,red_kangaroo,35,35,0,0,0,0
135.75,-30.75,red_kangaroo,581,491,0,0,90,0
140.25,-31.25,red_kangaroo,575,463,4,0,108,0
133.75,-29.25,red_kangaroo,89,86,0,0,3,0
138.75,-32.25,red_kangaroo,534,415,0,0,119,0
134.75,-28.25,red_kangaroo,71,63,0,0,8,0
133.25,-29.25,red_kangaroo,16,13,0,0,3,0
133.75,-29.75,red_kangaroo,627,588,0,0,39,0
134.75,-27.75,red_kangaroo,245,224,0,0,21,0
134.25,-29.25,red_kangaroo,336,317,0,0,19,0
139.75,-31.25,red_kangaroo,595,499,0,0,96,0
118.25,-20.75,red_kangaroo,44,37,0,0,7,0
117.25,-21.75,red_kangaroo,11,6,0,0,5,0
115.75,-27.25,emu,29,3,0,0,26,0
114.25,-24.75,emu,34,1,0,0,33,0
114.75,-27.75,emu,59,1,0,0,58,0
123.25,-31.75,emu,14,2,0,0,12,0
113.75,-24.75,emu,132,2,0,0,130,0
117.25,-28.75,emu,33,2,0,0,31,0
115.75,-28.25,emu,15,5,0,0,10,0
119.75,-23.25,emu,21,1,0,0,20,0
114.25,-22.25,emu,31,1,0,0,30,0
117.25,-26.25,emu,21,1,0,0,20,0
113.75,-25.25,emu,24,2,0,0,22,0
119.25,-27.75,emu,13,1,0,0,12,0
122.75,-30.75,emu,14,1,0,0,13,0
115.75,-27.75,emu,47,1,0,0,46,0
116.75,-30.25,emu,22,1,0,0,21,0
115.75,-31.75,emu,185,2,0,4,179,0
116.75,-29.25,emu,42,1,0,0,41,0
115.25,-28.25,emu,22,2,0,0,20,0
121.25,-28.75,emu,27,1,0,0,26,0
116.75,-26.25,emu,40,1,0,0,39,0
118.25,-30.75,emu,28,2,0,0,26,0
118.25,-22.25,emu,24,1,0,0,23,0
116.25,-21.75,emu,15,2,0,0,13,0
