species,common_name,lat,lon,year,state_code
red_kangaroo,Red Kangaroo,-31.375,139.56,2012,SA
red_kangaroo,Red Kangaroo,-32.6773,135.6429,2019,SA
red_kangaroo,Red Kangaroo,-31.989,140.0729,2022,SA
red_kangaroo,Red Kangaroo,-32.1301,140.47,2007,SA
red_kangaroo,Red Kangaroo,-30.1301,134.21,1982,SA
red_kangaroo,Red Kangaroo,-32.625,135.6402,2016,SA
red_kangaroo,Red Kangaroo,-29.8801,133.54,2005,SA
red_kangaroo,Red Kangaroo,-32.125,138.4904,2012,SA
red_kangaroo,Red Kangaroo,-30.3801,135.03,2007,SA
red_kangaroo,Red Kangaroo,-34.2807,142.8019,2018,NSW
red_kangaroo,Red Kangaroo,-32.1173,139.9388,2020,SA
red_kangaroo,Red Kangaroo,-30.6842,136.602,2016,SA
red_kangaroo,Red Kangaroo,-19.0,134.0,,NT
red_kangaroo,Red Kangaroo,-22.5992,135.2218,1999,NT
red_kangaroo,Red Kangaroo,-30.875,137.0026,2014,SA
red_kangaroo,Red Kangaroo,-31.874,140.1841,2018,SA
red_kangaroo,Red Kangaroo,-34.1978,142.5812,2018,NSW
red_kangaroo,Red Kangaroo,-29.8801,135.12,1987,SA
red_kangaroo,Red Kangaroo,-31.9065,140.0817,2022,SA
red_kangaroo,Red Kangaroo,-31.5,140.5716,2008,SA
red_kangaroo,Red Kangaroo,-32.3813,139.265,2009,SA
red_kangaroo,Red Kangaroo,-29.875,133.6678,2011,SA
red_kangaroo,Red Kangaroo,-23.5167,133.2667,1962,NT
red_kangaroo,Red Kangaroo,-31.1301,140.63,1990,SA
red_kangaroo,Red Kangaroo,-29.7146,117.449,2024,WA
red_kangaroo,Red Kangaroo,-32.5004,135.5351,2022,SA
red_kangaroo,Red Kangaroo,-31.3801,138.46,1992,SA
red_kangaroo,Red Kangaroo,-31.289,138.7414,2005,SA
red_kangaroo,Red Kangaroo,-30.625,135.1827,2014,SA
red_kangaroo,Red Kangaroo,-30.2878,139.2346,2023,SA
red_kangaroo,Red Kangaroo,-30.064,131.4403,2004,SA
red_kangaroo,Red Kangaroo,-30.6235,138.2645,2015,SA
red_kangaroo,Red Kangaroo,-32.8801,139.77,1988,SA
red_kangaroo,Red Kangaroo,-31.875,136.5493,2008,SA
red_kangaroo,Red Kangaroo,-31.375,139.8436,2018,SA
red_kangaroo,Red Kangaroo,-31.989,140.0729,2022,SA
red_kangaroo,Red Kangaroo,-22.8285,137.0025,1993,NT
red_kangaroo,Red Kangaroo,-31.5001,140.92,2003,SA
red_kangaroo,Red Kangaroo,-30.2878,139.2346,2021,SA
red_kangaroo,Red Kangaroo,-31.1301,140.74,1997,SA
red_kangaroo,Red Kangaroo,-32.3801,136.75,1984,SA
red_kangaroo,Red Kangaroo,-27.0333,134.5693,2010,SA
red_kangaroo,Red Kangaroo,-29.8737,135.1916,2016,SA
red_kangaroo,Red Kangaroo,-33.3801,140.86,1997,SA
red_kangaroo,Red Kangaroo,-31.4624,138.6465,2015,SA
red_kangaroo,Red Kangaroo,-30.558,139.4122,2018,SA
red_kangaroo,Red Kangaroo,-29.8801,137.69,1985,SA
red_kangaroo,Red Kangaroo,-31.9235,140.0731,2020,SA
red_kangaroo,Red Kangaroo,-29.8801,139.6,1984,SA
red_kangaroo,Red Kangaroo,-31.625,139.2869,2011,SA
red_kangaroo,Red Kangaroo,-31.8801,140.19,1996,SA
